item_id,vendor_name,title,description,price_cents,calories,calories_confidence,calories_source,model_pred_calories,annotated_calories,accept,notes
51ef1dc9-45,healthybee,Chicken Curry Chapati Meal Box,,299,282.0738242087336,0.7,model_regressor,282.0738242087336,,,
51ef1dc9-46,healthybee,Palak Paneer Brown Rice Meal Box,,294,251.24301526399609,0.7,model_regressor,251.24301526399609,,,
51ef1dc9-47,healthybee,Rajma Masala Chapati Meal Box,,309,222.1645603191496,0.7,model_regressor,222.1645603191496,,,
51ef1dc9-48,healthybee,Paneer Wrap,,251,258.6822317672699,0.7,model_regressor,258.6822317672699,,,
51ef1dc9-49,healthybee,Chicken Egg Wrap,,284,159.75791039092562,0.7,model_regressor,159.75791039092562,,,
51ef1dc9-50,healthybee,"Packed with eggs, chicken, and vegetables, this wheat paratha wrap is prepared in olive oil.",,207,165.61171660741994,0.7,model_regressor,165.61171660741994,,,
51ef1dc9-51,healthybee,Corn Veggie Wrap,,207,166.5792053383477,0.7,model_regressor,166.5792053383477,,,
51ef1dc9-52,healthybee,Chicken Wrap,,262,180.16270429281553,0.7,model_regressor,180.16270429281553,,,
51ef1dc9-53,healthybee,Egg Wrap,,207,174.04490179763636,0.7,model_regressor,174.04490179763636,,,
51ef1dc9-54,healthybee,Spinach Egg White Omelette (Protein &amp; Iron Rich),,189,157.46717680540857,0.7,model_regressor,157.46717680540857,,,
51ef1dc9-55,healthybee,Chicken Omelette ( Lean Protein Source ),,249,156.17305937650792,0.7,model_regressor,156.17305937650792,,,
51ef1dc9-56,healthybee,Double Deck Chicken Omelette,,259,155.7582602832888,0.7,model_regressor,155.7582602832888,,,
51ef1dc9-57,healthybee,Spinach Egg White Bhurji (Protein &amp; Iron Rich),,249,170.1476790198509,0.7,model_regressor,170.1476790198509,,,
51ef1dc9-58,healthybee,Boiled Eggs (3 Pcs),,89,165.69510578291667,0.7,model_regressor,165.69510578291667,,,
51ef1dc9-59,healthybee,"Masala Omelette (Healthy Bhi, Desi Bhi)",,159,181.9101029692392,0.7,model_regressor,181.9101029692392,,,
51ef1dc9-60,healthybee,Chicken Brown Rice Bowl,,299,186.10511245377091,0.7,model_regressor,186.10511245377091,,,
51ef1dc9-61,healthybee,Paneer Brown Rice Bowl,,274,243.7646228482736,0.7,model_regressor,243.7646228482736,,,
51ef1dc9-62,healthybee,Veg Brown Rice Bowl,,240,208.613466441624,0.7,model_regressor,208.613466441624,,,
51ef1dc9-63,healthybee,Egg Brown Rice Bowl,,274,181.5141111495551,0.7,model_regressor,181.5141111495551,,,
51ef1dc9-64,healthybee,Banana Date Smoothie,,220,95.85381794090912,0.7,model_regressor,95.85381794090912,,,
51ef1dc9-65,healthybee,Banana Milkshake,,139,91.6185582146488,0.7,model_regressor,91.6185582146488,,,
51ef1dc9-66,healthybee,Apple Banana Milkshake,,165,89.13717120907903,0.7,model_regressor,89.13717120907903,,,
51ef1dc9-67,healthybee,"Healthy and flavorful shake prepared with milk, apple, and banana.",,155,129.25225762380347,0.7,model_regressor,129.25225762380347,,,
51ef1dc9-68,healthybee,Apple Milkshake,,155,63.88993403417882,0.7,model_regressor,63.88993403417882,,,
51ef1dc9-69,healthybee,Pomegranate Juice [sugar-free],,165,167.28626289329247,0.7,model_regressor,167.28626289329247,,,
51ef1dc9-70,healthybee,Basil Papaya Juice [sugar-free],,155,167.28626289329247,0.7,model_regressor,167.28626289329247,,,
51ef1dc9-71,healthybee,Carrot Beetroot Juice [sugar-free],,155,209.24520489992327,0.7,model_regressor,209.24520489992327,,,
51ef1dc9-72,healthybee,Basil Watermelon Juice [sugar-free],,155,167.28626289329247,0.7,model_regressor,167.28626289329247,,,
