vendor_name,item_id,title,price_cents,calories,calories_rounded,model_pred_calories,model_pred_rounded,calories_source,confidence_label,final_confidence
healthybee,51ef1dc9-45,Chicken Curry Chapati Meal Box,299,282.0738242087336,282,282.0738242087336,282,manual_review,high,1.0
healthybee,51ef1dc9-46,Palak Paneer Brown Rice Meal Box,294,251.24301526399609,251,251.24301526399609,251,manual_review,high,1.0
healthybee,51ef1dc9-47,Rajma Masala Chapati Meal Box,309,222.1645603191496,222,222.1645603191496,222,manual_review,high,1.0
healthybee,51ef1dc9-48,Paneer Wrap,251,258.6822317672699,259,258.6822317672699,259,manual_review,high,1.0
healthybee,51ef1dc9-49,Chicken Egg Wrap,284,159.75791039092562,160,159.75791039092562,160,manual_review,high,1.0
healthybee,51ef1dc9-50,"Packed with eggs, chicken, and vegetables, this wheat paratha wrap is prepared in olive oil.",207,165.61171660741994,166,165.61171660741994,166,manual_review,high,1.0
healthybee,51ef1dc9-51,Corn Veggie Wrap,207,166.5792053383477,167,166.5792053383477,167,manual_review,high,1.0
healthybee,51ef1dc9-52,Chicken Wrap,262,180.16270429281553,180,180.16270429281553,180,manual_review,high,1.0
healthybee,51ef1dc9-53,Egg Wrap,207,174.04490179763636,174,174.04490179763636,174,manual_review,high,1.0
healthybee,51ef1dc9-54,Spinach Egg White Omelette (Protein &amp; Iron Rich),189,157.46717680540857,157,157.46717680540857,157,manual_review,high,1.0
healthybee,51ef1dc9-55,Chicken Omelette ( Lean Protein Source ),249,156.17305937650792,156,156.17305937650792,156,manual_review,high,1.0
healthybee,51ef1dc9-56,Double Deck Chicken Omelette,259,155.7582602832888,156,155.7582602832888,156,manual_review,high,1.0
healthybee,51ef1dc9-57,Spinach Egg White Bhurji (Protein &amp; Iron Rich),249,170.1476790198509,170,170.1476790198509,170,manual_review,high,1.0
healthybee,51ef1dc9-58,Boiled Eggs (3 Pcs),89,165.69510578291667,166,165.69510578291667,166,manual_review,high,1.0
healthybee,51ef1dc9-59,"Masala Omelette (Healthy Bhi, Desi Bhi)",159,181.9101029692392,182,181.9101029692392,182,manual_review,high,1.0
healthybee,51ef1dc9-60,Chicken Brown Rice Bowl,299,186.10511245377091,186,186.10511245377091,186,manual_review,high,1.0
healthybee,51ef1dc9-61,Paneer Brown Rice Bowl,274,243.7646228482736,244,243.7646228482736,244,manual_review,high,1.0
healthybee,51ef1dc9-62,Veg Brown Rice Bowl,240,208.613466441624,209,208.613466441624,209,manual_review,high,1.0
healthybee,51ef1dc9-63,Egg Brown Rice Bowl,274,181.5141111495551,182,181.51411114955513,182,manual_review,high,1.0
healthybee,51ef1dc9-64,Banana Date Smoothie,220,95.85381794090912,96,95.85381794090912,96,manual_review,high,1.0
healthybee,51ef1dc9-65,Banana Milkshake,139,91.6185582146488,92,91.61855821464879,92,manual_review,high,1.0
healthybee,51ef1dc9-66,Apple Banana Milkshake,165,89.13717120907903,89,89.13717120907903,89,manual_review,high,1.0
healthybee,51ef1dc9-67,"Healthy and flavorful shake prepared with milk, apple, and banana.",155,129.25225762380347,129,129.25225762380347,129,manual_review,high,1.0
healthybee,51ef1dc9-68,Apple Milkshake,155,63.88993403417882,64,63.88993403417882,64,manual_review,high,1.0
healthybee,51ef1dc9-69,Pomegranate Juice [sugar-free],165,167.28626289329247,167,167.28626289329247,167,manual_review,high,1.0
healthybee,51ef1dc9-70,Basil Papaya Juice [sugar-free],155,167.28626289329247,167,167.28626289329247,167,manual_review,high,1.0
healthybee,51ef1dc9-71,Carrot Beetroot Juice [sugar-free],155,209.24520489992327,209,209.24520489992327,209,manual_review,high,1.0
healthybee,51ef1dc9-72,Basil Watermelon Juice [sugar-free],155,167.28626289329247,167,167.28626289329247,167,manual_review,high,1.0
healthybee,51ef1dc9-73,Balance Fruit Bowl,184,195.69552879636527,196,195.69552879636527,196,manual_review,high,1.0
healthybee,51ef1dc9-74,Fruit Custard Bowl,169,195.69552879636527,196,195.69552879636527,196,manual_review,high,1.0
healthybee,51ef1dc9-75,Quinoa Chickpea Tabbouleh Salad,279,222.69419568229029,223,222.69419568229029,223,manual_review,high,1.0
healthybee,51ef1dc9-76,Peanut Butter Fruits Oatmeal,249,205.49110552052156,205,205.49110552052156,205,manual_review,high,1.0
healthybee,51ef1dc9-77,Fruit Milk Oats,179,138.3752334869614,138,138.3752334869614,138,manual_review,high,1.0
healthybee,51ef1dc9-78,Milk Oats,149,167.28626289329247,167,167.28626289329247,167,manual_review,high,1.0
healthybee,51ef1dc9-79,Brown Rice (200 gm),140,156.47240537687125,156,156.47240537687125,156,manual_review,high,1.0
healthybee,51ef1dc9-80,Beetroot Chapati (1 Pc),35,291.9126253421801,292,291.9126253421801,292,manual_review,high,1.0
healthybee,51ef1dc9-81,Parsley Dip,39,167.28626289329247,167,167.28626289329247,167,manual_review,high,1.0
healthybee,51ef1dc9-82,Spinach Chapati (1 Pc),35,292.2595169618141,292,292.2595169618141,292,manual_review,high,1.0
healthybee,51ef1dc9-83,Chicken Burrito Bowl,339,208.70793490661976,209,208.70793490661976,209,manual_review,high,1.0
healthybee,51ef1dc9-84,Cucumber Mint Lemonade,129,167.28626289329247,167,167.28626289329247,167,manual_review,high,1.0
healthybee,51ef1dc9-85,Honey Ginger Lemonade,129,167.28626289329247,167,167.28626289329247,167,manual_review,high,1.0
healthybee,51ef1dc9-86,Classic Lemonade,90,167.28626289329247,167,167.28626289329247,167,manual_review,high,1.0
healthybee,51ef1dc9-87,P P L Detox [sugar-free],184,167.28626289329247,167,167.28626289329247,167,manual_review,high,1.0
swad gomantak,3264c85c-88,Surmai Thali,650,263.9483539963847,264,263.9483539963847,264,manual_review,high,1.0
swad gomantak,3264c85c-89,Pomfret Thali,770,263.9483539963847,264,263.9483539963847,264,manual_review,high,1.0
swad gomantak,3264c85c-90,Chicken Malvani Thali,400,238.9530793112242,239,238.9530793112242,239,manual_review,high,1.0
swad gomantak,3264c85c-91,Gomanntak Special Seafood Thali,890,263.9483539963847,264,263.9483539963847,264,manual_review,high,1.0
swad gomantak,3264c85c-92,Gomanntak Konkan Special Thali,790,263.9483539963847,264,263.9483539963847,264,manual_review,high,1.0
swad gomantak,3264c85c-93,Prawns Thali,650,263.9483539963847,264,263.9483539963847,264,manual_review,high,1.0
swad gomantak,3264c85c-94,Crab Thali,650,263.9483539963847,264,263.9483539963847,264,manual_review,high,1.0
swad gomantak,3264c85c-95,Bangda Thali,450,263.9483539963847,264,263.9483539963847,264,manual_review,high,1.0
swad gomantak,3264c85c-96,Bombil Thali,450,263.9483539963847,264,263.9483539963847,264,manual_review,high,1.0
swad gomantak,3264c85c-97,Mandeli Thali,350,263.9483539963847,264,263.9483539963847,264,manual_review,high,1.0
swad gomantak,3264c85c-98,Veg Thali,250,268.43352559587225,268,268.43352559587225,268,manual_review,high,1.0
swad gomantak,3264c85c-99,Egg Thali,210,228.9557145988802,229,228.9557145988802,229,manual_review,high,1.0
swad gomantak,3264c85c-100,Mutton Malvani Thali,600,263.9483539963847,264,263.9483539963847,264,manual_review,high,1.0
swad gomantak,3264c85c-101,Surmai Curry,689,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-102,Surmai Konkan Curry,689,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-103,Surmai Tawa Masala,495,216.15593958455543,216,216.15593958455545,216,manual_review,high,1.0
swad gomantak,3264c85c-104,Surmai Tikhale,689,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-105,Prawns Konkan Curry,589,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-106,Prawns Masala,589,216.15593958455543,216,216.15593958455545,216,manual_review,high,1.0
swad gomantak,3264c85c-107,Prawns Sukka,589,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-108,Prawns Curry,589,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-109,Chicken Kombdi Vade,590,199.4532884713104,199,199.4532884713104,199,manual_review,high,1.0
swad gomantak,3264c85c-110,Chicken Malwani Handi,390,212.29074587833185,212,212.29074587833185,212,manual_review,high,1.0
swad gomantak,3264c85c-111,Chicken Curry,350,173.25154232735164,173,173.25154232735164,173,manual_review,high,1.0
swad gomantak,3264c85c-112,Chicken Sukka,350,199.4532884713104,199,199.4532884713104,199,manual_review,high,1.0
swad gomantak,3264c85c-113,Chicken Maratha Curry,350,174.03941258300088,174,174.03941258300088,174,manual_review,high,1.0
swad gomantak,3264c85c-114,Chicken Masala,350,198.61939472678768,199,198.61939472678768,199,manual_review,high,1.0
swad gomantak,3264c85c-115,Chicken Kadai,350,199.4532884713104,199,199.4532884713104,199,manual_review,high,1.0
